file,line,type,commit,author,date,time,timezone,datetime,depth,length
src/routes/+page.svelte,30,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,15
src/routes/+page.svelte,31,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,167
src/routes/+page.svelte,32,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,2
src/routes/+page.svelte,33,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,13
src/routes/+page.svelte,34,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,53
src/routes/+page.svelte,35,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,73
src/routes/+page.svelte,36,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,62
src/routes/+page.svelte,37,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,7
src/routes/+page.svelte,38,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,15
src/routes/+page.svelte,39,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,21
src/routes/+page.svelte,40,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,19
src/routes/+page.svelte,41,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,0
src/routes/+page.svelte,42,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,1
src/routes/+page.svelte,43,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,2
src/routes/+page.svelte,44,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,33
src/routes/+page.svelte,45,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,15
src/routes/+page.svelte,46,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,138
src/routes/+page.svelte,47,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,2
src/routes/+page.svelte,48,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,13
src/routes/+page.svelte,49,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,56
src/routes/+page.svelte,50,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,73
src/routes/+page.svelte,51,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,65
src/routes/+page.svelte,52,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,7
src/routes/+page.svelte,53,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,15
src/routes/+page.svelte,54,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,21
src/routes/+page.svelte,55,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,19
src/routes/+page.svelte,56,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,0
src/routes/+page.svelte,57,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,1
src/routes/+page.svelte,58,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,2
src/routes/+page.svelte,59,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,0
src/routes/+page.svelte,60,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,0
src/routes/+page.svelte,61,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,1
src/routes/+page.svelte,62,js,00000000,Not Committed Yet,2024-04-10,10:15:43,-04:00,2024-04-10T10:15:43-04:00,0,17
